Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
9,100,BTC: Buy KRAKEN -> Sell COINBASE,310002.52,-2.1931,0.9976
9,150,ETH: Buy BINANCE -> Sell KRAKEN,307739.03,-1.7372,0.9976
9,200,ETH: Buy BINANCE -> Sell KRAKEN,309616.78,-1.0335,0.9976
10,50,BTC: Buy COINBASE -> Sell BINANCE,307527.12,-0.8741,0.9973
10,100,WAIT (Holding Capital),309996.89,-0.0100,0.9973
10,150,ETH: Buy COINBASE -> Sell BINANCE,307814.90,1.7178,0.9973
10,200,ETH: Buy BINANCE -> Sell COINBASE,309550.10,-1.5182,0.9973
11,50,ETH: Buy COINBASE -> Sell BINANCE,307318.81,-0.7647,0.9970
11,100,BNB: Buy KRAKEN -> Sell BINANCE,309400.23,-1.0627,0.9970
11,150,ETH: Buy COINBASE -> Sell BINANCE,307589.70,-2.0575,0.9970
11,200,BTC: Buy COINBASE -> Sell KRAKEN,308732.72,4.0827,0.9970
12,50,BTC: Buy COINBASE -> Sell BINANCE,307645.51,0.2709,0.9967
12,100,BTC: Buy BINANCE -> Sell COINBASE,309786.62,-2.0000,0.9967
12,150,BTC: Buy KRAKEN -> Sell BINANCE,308250.42,-2.0000,0.9967
12,200,ETH: Buy BINANCE -> Sell KRAKEN,309137.03,-2.0000,0.9967
13,50,BTC: Buy COINBASE -> Sell BINANCE,308231.64,-0.1521,0.9964
13,100,BTC: Buy KRAKEN -> Sell COINBASE,310138.97,-0.4404,0.9964
13,150,BTC: Buy BINANCE -> Sell COINBASE,307344.06,-0.3743,0.9964
13,200,ETH: Buy COINBASE -> Sell KRAKEN,309822.43,0.9981,0.9964
14,50,BTC: Buy COINBASE -> Sell BINANCE,307061.29,0.0724,0.9961
14,100,ETH: Buy COINBASE -> Sell KRAKEN,308383.14,-2.0000,0.9961
14,150,BNB: Buy COINBASE -> Sell KRAKEN,306785.93,0.9639,0.9961
14,200,ETH: Buy COINBASE -> Sell KRAKEN,308824.06,0.3968,0.9961
15,50,BNB: Buy COINBASE -> Sell BINANCE,307673.40,0.5558,0.9958
15,100,BTC: Buy COINBASE -> Sell BINANCE,309196.90,-2.0000,0.9958
15,150,ETH: Buy COINBASE -> Sell BINANCE,306871.62,0.4403,0.9958
15,200,BTC: Buy COINBASE -> Sell BINANCE,309204.50,-1.7354,0.9958
16,50,ETH: Buy COINBASE -> Sell KRAKEN,306762.81,-0.9062,0.9955
16,100,BTC: Buy COINBASE -> Sell KRAKEN,308704.11,-0.8300,0.9955
16,150,BTC: Buy COINBASE -> Sell BINANCE,306667.53,-0.2908,0.9955
16,200,WAIT (Holding Capital),308935.15,-0.0100,0.9955
17,50,BTC: Buy COINBASE -> Sell KRAKEN,307214.11,0.1502,0.9952
17,100,BNB: Buy COINBASE -> Sell BINANCE,308942.86,0.1745,0.9952
17,150,BNB: Buy BINANCE -> Sell KRAKEN,307457.47,0.5655,0.9952
17,200,BTC: Buy COINBASE -> Sell BINANCE,309102.51,1.5989,0.9952
18,50,ETH: Buy BINANCE -> Sell COINBASE,307494.16,-2.0000,0.9949
18,100,BTC: Buy COINBASE -> Sell BINANCE,309362.51,0.6196,0.9949
18,150,ETH: Buy COINBASE -> Sell BINANCE,307562.85,1.8091,0.9949
18,200,ETH: Buy KRAKEN -> Sell BINANCE,308764.85,1.7865,0.9949
19,50,ETH: Buy BINANCE -> Sell COINBASE,306936.08,-0.1629,0.9946
19,100,BNB: Buy COINBASE -> Sell KRAKEN,308111.23,-2.0000,0.9946
19,150,ETH: Buy KRAKEN -> Sell BINANCE,307291.09,0.9009,0.9946
19,200,BTC: Buy KRAKEN -> Sell COINBASE,309076.52,-2.0000,0.9946
20,50,BNB: Buy KRAKEN -> Sell COINBASE,306814.03,-0.6320,0.9943
20,100,BNB: Buy KRAKEN -> Sell COINBASE,309144.73,-2.0000,0.9943
20,150,ETH: Buy KRAKEN -> Sell COINBASE,307357.29,-0.3737,0.9943
20,200,BNB: Buy BINANCE -> Sell KRAKEN,308626.26,0.1935,0.9943
21,50,ETH: Buy COINBASE -> Sell BINANCE,307787.05,0.1212,0.9940
21,100,BTC: Buy KRAKEN -> Sell BINANCE,309682.73,0.7583,0.9940
21,150,ETH: Buy BINANCE -> Sell KRAKEN,308392.46,-2.0000,0.9940
21,200,ETH: Buy COINBASE -> Sell BINANCE,309901.62,-2.0000,0.9940
22,50,BTC: Buy COINBASE -> Sell BINANCE,307580.49,-2.0000,0.9937
22,100,BTC: Buy KRAKEN -> Sell BINANCE,309597.73,-0.6117,0.9937
22,150,BNB: Buy BINANCE -> Sell COINBASE,307572.79,0.0809,0.9937
22,200,BNB: Buy COINBASE -> Sell BINANCE,308974.33,-1.2918,0.9937
23,50,ETH: Buy KRAKEN -> Sell COINBASE,307170.74,-2.0000,0.9934
23,100,BNB: Buy KRAKEN -> Sell COINBASE,308861.26,0.2714,0.9934
23,150,BNB: Buy COINBASE -> Sell KRAKEN,306607.25,-2.0000,0.9934
23,200,ETH: Buy KRAKEN -> Sell COINBASE,308271.71,-0.7868,0.9934
24,50,BNB: Buy KRAKEN -> Sell BINANCE,307538.44,-1.2207,0.9931
24,100,BTC: Buy COINBASE -> Sell BINANCE,308712.07,0.1356,0.9931
24,150,BTC: Buy KRAKEN -> Sell BINANCE,307069.36,-0.2063,0.9931
24,200,BNB: Buy COINBASE -> Sell BINANCE,308382.52,0.5628,0.9931
25,50,ETH: Buy KRAKEN -> Sell BINANCE,307781.43,-0.7462,0.9928
25,100,ETH: Buy KRAKEN -> Sell BINANCE,309484.67,3.6063,0.9928
25,150,WAIT (Holding Capital),307998.73,-0.0100,0.9928
25,200,BTC: Buy KRAKEN -> Sell COINBASE,309489.79,-2.0000,0.9928
26,50,BTC: Buy KRAKEN -> Sell COINBASE,307143.99,-2.0000,0.9925
